han,hex,dec
僐,50D0,20688
僙,50D9,20697
僟,50DF,20703
僡,50E1,20705
僴,50F4,20724
僼,50FC,20732
儁,5101,20737
儍,510D,20749
儎,510E,20750
儫,512B,20779
兑,5151,20817
兖,5156,20822
兠,5160,20832
兪,516A,20842
兴,5174,20852
兹,5179,20857
冂,5182,20866
円,5186,20870
冈,5188,20872
冖,5196,20886
冚,519A,20890
农,519C,20892
冧,51A7,20903
冨,51A8,20904
冫,51AB,20907
冮,51AE,20910
冲,51B2,20914
决,51B3,20915
冴,51B4,20916
况,51B5,20917
冸,51B8,20920
凃,51C3,20931
凇,51C7,20935
凉,51C9,20937
减,51CF,20943
凑,51D1,20945
凒,51D2,20946
凓,51D3,20947
凛,51DB,20955
凟,51DF,20959
凢,51E2,20962
凤,51E4,20964
凭,51ED,20973
凴,51F4,20980
凼,51FC,20988
凾,51FE,20990
刂,5202,20994
刅,5205,20997
刋,520B,21003
刟,521F,21023
删,5220,21024
刦,5226,21030
刧,5227,21031
刴,5234,21044
刼,523C,21052
剏,524F,21071
剗,5257,21079
剙,5259,21081
剠,5260,21088
剨,5268,21096
剳,5273,21107
剹,5279,21113
劏,528F,21135
劐,5290,21136
劔,5294,21140
劚,529A,21146
务,52A1,21153
劤,52A4,21156
动,52A8,21160
劵,52B5,21173
効,52B9,21177
勅,52C5,21189
勌,52CC,21196
勐,52D0,21200
勑,52D1,21201
勠,52E0,21216
勡,52E1,21217
勹,52F9,21241
匁,5301,21249
匤,5324,21284
匧,5327,21287
匬,532C,21292
匲,5332,21298
匳,5333,21299
匸,5338,21304
医,533B,21307
卂,5342,21314
华,534E,21326
卝,535D,21341
卟,535F,21343
卤,5364,21348
卧,5367,21351
卩,5369,21353
卭,536D,21357
却,5374,21364
卽,537D,21373
卾,537E,21374
厓,5393,21395
厠,53A0,21408
厢,53A2,21410
厦,53A6,21414
厨,53A8,21416
厩,53A9,21417
厪,53AA,21418
厫,53AB,21419
厮,53AE,21422
厰,53B0,21424
厶,53B6,21430
叁,53C1,21441
参,53C2,21442
叅,53C5,21445
双,53CC,21452
叐,53D0,21456
发,53D1,21457
叒,53D2,21458
变,53D8,21464
叙,53D9,21465
叚,53DA,21466
叠,53E0,21472
叶,53F6,21494
号,53F7,21495
叾,53FE,21502
吓,5413,21523
吔,5414,21524
吖,5416,21526
吚,541A,21530
吡,5421,21537
吣,5423,21539
启,542F,21551
吲,5432,21554
吴,5434,21556
吿,543F,21567
呋,544B,21579
呌,544C,21580
呍,544D,21581
呩,5469,21609
呪,546A,21610
呭,546D,21613
咅,5485,21637
咏,548F,21647
咓,5493,21651
咔,5494,21652
咗,5497,21655
咜,549C,21660
咞,549E,21662
咣,54A3,21667
咤,54A4,21668
咲,54B2,21682
咴,54B4,21684
咹,54B9,21689
哋,54CB,21707
哌,54CC,21708
响,54CD,21709
哐,54D0,21712
哚,54DA,21722
哣,54E3,21731
哯,54EF,21743
唂,5502,21762
唍,550D,21773
唓,5513,21779
唘,5518,21784
唞,551E,21790
唣,5523,21795
唥,5525,21797
唨,5528,21800
唫,552B,21803
唿,553F,21823
啇,5547,21831
啉,5549,21833
啓,5553,21843
啝,555D,21853
啩,5569,21865
啫,556B,21867
啱,5571,21873
啲,5572,21874
啳,5573,21875
啹,5579,21881
喆,5586,21894
喐,5590,21904
喩,55A9,21929
喰,55B0,21936
喴,55B4,21940
喹,55B9,21945
喺,55BA,21946
喼,55BC,21948
嗁,55C1,21953
嗗,55D7,21975
嗘,55D8,21976
嗞,55DE,21982
嗪,55EA,21994
嗬,55EC,21996
嗰,55F0,22000
嗱,55F1,22001
嗵,55F5,22005
嗻,55FB,22011
嘅,5605,22021
嘑,5611,22033
嘞,561E,22046
嘠,5620,22048
嘡,5621,22049
嘢,5622,22050
嘣,5623,22051
嘥,5625,22053
嘭,562D,22061
嘷,5637,22071
噃,5643,22083
噍,564D,22093
噏,564F,22095
噐,5650,22096
噒,5652,22098
噔,5654,22100
噝,565D,22109
噡,5661,22113
噺,567A,22138
噻,567B,22139
噼,567C,22140
嚉,5689,22153
嚊,568A,22154
嚋,568B,22155
嚒,5692,22162
嚞,569E,22174
嚟,569F,22175
嚡,56A1,22177
嚤,56A4,22180
嚯,56AF,22191
嚱,56B1,22193
嚹,56B9,22201
嚿,56BF,22207
囖,56D6,22230
团,56E2,22242
园,56ED,22253
囯,56EF,22255
囱,56F1,22257
囻,56FB,22267
国,56FD,22269
圀,5700,22272
圕,5715,22293
圝,571D,22301
圲,5732,22322
圽,573D,22333
圿,573F,22335
坂,5742,22338
坃,5743,22339
坆,5746,22342
坔,5754,22356
块,5757,22359
坛,575B,22363
坟,575F,22367
坧,5767,22375
坺,577A,22394
坾,577E,22398
坿,577F,22399
垈,5788,22408
垊,578A,22410
垍,578D,22413
垐,5790,22416
垜,579C,22428
垡,57A1,22433
垧,57A7,22439
垪,57AA,22442
垳,57B3,22451
垴,57B4,22452
垻,57BB,22459
垾,57BE,22462
埄,57C4,22468
埈,57C8,22472
埗,57D7,22487
埝,57DD,22493
埞,57DE,22494
埦,57E6,22502
埯,57EF,22511
埾,57FE,22526
堃,5803,22531
堒,5812,22546
堘,5818,22552
堢,5822,22562
堦,5826,22566
堺,583A,22586
塀,5840,22592
塄,5844,22596
塇,5847,22599
塜,585C,22620
塟,585F,22623
塩,5869,22633
塬,586C,22636
塲,5872,22642
塳,5873,22643
墒,5892,22674
墖,5896,22678
墙,5899,22681
墚,589A,22682
墧,58A7,22695
墪,58AA,22698
墰,58B0,22704
墵,58B5,22709
墶,58B6,22710
墻,58BB,22715
壋,58CB,22731
壐,58D0,22736
壜,58DC,22748
壠,58E0,22752
声,58F0,22768
売,58F2,22770
壳,58F3,22771
壻,58FB,22779
夂,5902,22786
处,5904,22788
夅,5905,22789
备,5907,22791
夊,590A,22794
夑,5911,22801
夝,591D,22813
够,591F,22815
夲,5932,22834
头,5934,22836
奥,5965,22885
奵,5975,22901
妉,5989,22921
妔,5994,22932
妚,599A,22938
妟,599F,22943
妬,59AC,22956
妰,59B0,22960
妷,59B7,22967
妸,59B8,22968
妿,59BF,22975
姄,59C4,22980
姉,59C9,22985
姙,59D9,23001
姫,59EB,23019
姯,59EF,23023
姰,59F0,23024
姸,59F8,23032
姹,59F9,23033
娂,5A02,23042
娋,5A0B,23051
娍,5A0D,23053
娒,5A12,23058
娚,5A1A,23066
娡,5A21,23073
娤,5A24,23076
娧,5A27,23079
娪,5A2A,23082
娫,5A2B,23083
娬,5A2C,23084
娽,5A3D,23101
婅,5A45,23109
婔,5A54,23124
婙,5A59,23129
婡,5A61,23137
婣,5A63,23139
婨,5A68,23144
婫,5A6B,23147
婮,5A6E,23150
婱,5A71,23153
婹,5A79,23161
婾,5A7E,23166
媁,5A81,23169
媂,5A82,23170
媆,5A86,23174
媈,5A88,23176
媑,5A91,23185
媖,5A96,23190
媙,5A99,23193
媠,5AA0,23200
媡,5AA1,23201
媤,5AA4,23204
媪,5AAA,23210
媫,5AAB,23211
嫃,5AC3,23235
嫎,5ACE,23246
嫏,5ACF,23247
嫑,5AD1,23249
嫓,5AD3,23251
嫤,5AE4,23268
嫰,5AF0,23280
嫲,5AF2,23282
嫺,5AFA,23290
嫾,5AFE,23294
嬍,5B0D,23309
嬑,5B11,23313
嬕,5B15,23317
嬟,5B1F,23327
嬫,5B2B,23339
孁,5B41,23361
孄,5B44,23364
孆,5B46,23366
孊,5B4A,23370
孏,5B4F,23375
学,5B66,23398
孨,5B68,23400
孭,5B6D,23405
孴,5B74,23412
孶,5B76,23414
孼,5B7C,23420
宀,5B80,23424
宂,5B82,23426
宐,5B90,23440
宖,5B96,23446
宝,5B9D,23453
实,5B9E,23454
実,5B9F,23455
宪,5BAA,23466
宷,5BB7,23479
寃,5BC3,23491
寕,5BD5,23509
寗,5BD7,23511
寛,5BDB,23515
寳,5BF3,23539
寿,5BFF,23551
尅,5C05,23557
尓,5C13,23571
尔,5C14,23572
尜,5C1C,23580
尞,5C1E,23582
尠,5C20,23584
尣,5C23,23587
屉,5C49,23625
届,5C4A,23626
屓,5C53,23635
属,5C5E,23646
屸,5C78,23672
岅,5C85,23685
岙,5C99,23705
岚,5C9A,23706
岜,5C9C,23708
岞,5C9E,23710
岺,5CBA,23738
峁,5CC1,23745
峂,5CC2,23746
峑,5CD1,23761
峕,5CD5,23765
峥,5CE5,23781
峩,5CE9,23785
峯,5CEF,23791
峵,5CF5,23797
峼,5CFC,23804
崐,5D10,23824
崕,5D15,23829
崘,5D18,23832
崬,5D2C,23852
崯,5D2F,23855
崾,5D3E,23870
嵆,5D46,23878
嵈,5D48,23880
嵖,5D56,23894
嵗,5D57,23895
嵛,5D5B,23899
嵰,5D70,23920
嵴,5D74,23924
嵸,5D78,23928
嵻,5D7B,23931
嶅,5D85,23941
嶋,5D8B,23947
嶎,5D8E,23950
嶤,5DA4,23972
嶫,5DAB,23979
嶶,5DB6,23990
嶹,5DB9,23993
巁,5DC1,24001
巗,5DD7,24023
巛,5DDB,24027
巵,5DF5,24053
帉,5E09,24073
帋,5E0B,24075
帒,5E12,24082
帮,5E2E,24110
幂,5E42,24130
幈,5E48,24136
幞,5E5E,24158
幺,5E7A,24186
广,5E7F,24191
広,5E83,24195
庆,5E86,24198
庒,5E92,24210
庙,5E99,24217
庽,5EBD,24253
廍,5ECD,24269
廐,5ED0,24272
廴,5EF4,24308
廸,5EF8,24312
廹,5EF9,24313
廻,5EFB,24315
廼,5EFC,24316
弌,5F0C,24332
弍,5F0D,24333
弎,5F0E,24334
弥,5F25,24357
强,5F3A,24378
弻,5F3B,24379
彍,5F4D,24397
彐,5F50,24400
彑,5F51,24401
彜,5F5C,24412
彡,5F61,24417
彣,5F63,24419
彲,5F72,24434
彻,5F7B,24443
徃,5F83,24451
徤,5FA4,24484
徧,5FA7,24487
徱,5FB1,24497
徺,5FBA,24506
忂,5FC2,24514
忄,5FC4,24516
忛,5FDB,24539
忟,5FDF,24543
怣,6023,24611
怱,6031,24625
总,603B,24635
恊,604A,24650
恒,6052,24658
恵,6075,24693
恷,6077,24695
恾,607E,24702
悞,609E,24734
悤,60A4,24740
悦,60A6,24742
悧,60A7,24743
悳,60B3,24755
惗,60D7,24791
惞,60DE,24798
惣,60E3,24803
惧,60E7,24807
惨,60E8,24808
惩,60E9,24809
惽,60FD,24829
愇,6107,24839
愌,610C,24844
愙,6119,24857
愠,6120,24864
愢,6122,24866
愰,6130,24880
愽,613D,24893
慂,6142,24898
慐,6150,24912
慙,6159,24921
慜,615C,24924
慠,6160,24928
慤,6164,24932
慯,616F,24943
慽,617D,24957
憁,6181,24961
憇,6187,24967
憕,6195,24981
憘,6198,24984
憙,6199,24985
憜,619C,24988
憷,61B7,25015
憹,61B9,25017
懀,61C0,25024
懏,61CF,25039
懐,61D0,25040
懓,61D3,25043
懚,61DA,25050
懢,61E2,25058
戬,622C,25132
户,6237,25143
戹,6239,25145
扌,624C,25164
扨,6268,25192
抂,6282,25218
抅,6285,25221
抐,6290,25232
抝,629D,25245
护,62A4,25252
抦,62A6,25254
拁,62C1,25281
拃,62C3,25283
担,62C5,25285
拕,62D5,25301
拟,62DF,25311
拥,62E5,25317
挘,6318,25368
挮,632E,25390
挱,6331,25393
挵,6335,25397
挷,6337,25399
捝,635D,25437
捤,6364,25444
捬,636C,25452
捹,6379,25465
捿,637F,25471
掋,638B,25483
掹,63B9,25529
揁,63C1,25537
揑,63D1,25553
揞,63DE,25566
揢,63E2,25570
揦,63E6,25574
揸,63F8,25592
揻,63FB,25595
揼,63FC,25596
揾,63FE,25598
搇,6407,25607
搲,6432,25650
搸,6438,25656
携,643A,25658
搻,643B,25659
摚,645A,25690
摱,6471,25713
摼,647C,25724
撍,648D,25741
撑,6491,25745
撯,64AF,25775
撴,64B4,25780
撶,64B6,25782
擀,64C0,25792
擓,64D3,25811
擝,64DD,25821
擡,64E1,25825
擥,64E5,25829
擧,64E7,25831
擪,64EA,25834
攊,650A,25866
攑,6511,25873
攞,651E,25886
攟,651F,25887
攰,6530,25904
攴,6534,25908
攵,6535,25909
敍,654D,25933
敚,655A,25946
敟,655F,25951
敫,656B,25963
敭,656D,25965
斅,6585,25989
斆,6586,25990
斈,6588,25992
斉,6589,25993
斋,658B,25995
斵,65B5,26037
斾,65BE,26046
旑,65D1,26065
旔,65D4,26068
无,65E0,26080
旣,65E3,26083
旿,65FF,26111
昘,6618,26136
昞,661E,26142
昣,6623,26147
昰,6630,26160
晄,6644,26180
晈,6648,26184
晋,664B,26187
晍,664D,26189
晓,6653,26195
晗,6657,26199
晠,6660,26208
晣,6663,26211
晧,6667,26215
晫,666B,26219
晳,6673,26227
晽,667D,26237
暅,6685,26245
暎,668E,26254
暒,6692,26258
暚,669A,26266
暤,66A4,26276
暭,66AD,26285
暳,66B3,26291
暶,66B6,26294
暿,66BF,26303
曍,66CD,26317
曎,66CE,26318
曧,66E7,26343
曱,66F1,26353
朂,6702,26370
朌,670C,26380
朎,670E,26382
朖,6716,26390
朙,6719,26393
朞,671E,26398
朥,6725,26405
朶,6736,26422
杄,6744,26436
条,6761,26465
杢,6762,26466
杧,6767,26471
杫,676B,26475
杮,676E,26478
枂,6782,26498
枏,678F,26511
枠,67A0,26528
枤,67A4,26532
枬,67AC,26540
枱,67B1,26545
枿,67BF,26559
柖,67D6,26582
柗,67D7,26583
柹,67F9,26617
柾,67FE,26622
栀,6800,26624
栁,6801,26625
栂,6802,26626
栃,6803,26627
栄,6804,26628
栍,680D,26637
栐,6810,26640
栛,681B,26651
栞,681E,26654
栢,6822,26658
栶,6836,26678
样,6837,26679
栾,683E,26686
桇,6847,26695
桊,684A,26698
桕,6855,26709
桖,6856,26710
桝,685D,26717
桥,6865,26725
梄,6884,26756
梈,6888,26760
