han,name,hex,dec,note
褶,3720,8936,35126,
褸,3721,8938,35128,
褻,3722,893B,35131,
襄,3723,8944,35140,
襃,3724,8943,35139,⿳亠⿰⿷#(丿𠃊>)一呆𧘇
褒,3724V,8912,35090,⿳亠⿰亻呆𧘇
襟,3725,895F,35167,
襠,3726,8960,35168,
襖,3727,8956,35158,
襤,3728,8964,35172,
襪,3729,896A,35178,
襯,3730,896F,35183,
襲,3731,8972,35186,
西,3732,897F,35199,
要,3733,8981,35201,
覃,3734,8983,35203,
覆,3735,8986,35206,
見,3736,898B,35211,
規,3737,898F,35215,
覓,3738,8993,35219,
親,3739,89AA,35242,
覦,3740,89A6,35238,
覬,3741,89AC,35244,
覲,3742,89B2,35250,
覺,3743,89BA,35258,
覽,3744,89BD,35261,
觀,3745,89C0,35264,
角,3746,89D2,35282,
解,3747,89E3,35299,
觴,3748,89F4,35316,
觸,3749,89F8,35320,
言,3750,8A00,35328,
計,3751,8A08,35336,
訂,3752,8A02,35330,
訃,3753,8A03,35331,
記,3754,8A18,35352,
訐,3755,8A10,35344,
討,3756,8A0E,35342,
訌,3757,8A0C,35340,
訕,3758,8A15,35349,
訊,3759,8A0A,35338,
託,3760,8A17,35351,
訓,3761,8A13,35347,
訖,3762,8A16,35350,
訪,3763,8A2A,35370,
訝,3764,8A1D,35357,
訣,3765,8A23,35363,
訥,3766,8A25,35365,
許,3767,8A31,35377,
設,3768,8A2D,35373,
訟,3769,8A1F,35359,
訛,3770,8A1B,35355,⿰言化
譌,3770V,8B4C,35660,⿰言爲
註,3771,8A3B,35387,
詠,3772,8A60,35424,
評,3773,8A55,35413,
詞,3774,8A5E,35422,
詁,3775,8A41,35393,
詔,3776,8A54,35412,
詛,3777,8A5B,35419,
詐,3778,8A50,35408,
詆,3779,8A46,35398,
訴,3780,8A34,35380,
診,3781,8A3A,35386,
詫,3782,8A6B,35435,
該,3783,8A72,35442,
詳,3784,8A73,35443,
試,3785,8A66,35430,
詩,3786,8A69,35433,
詰,3787,8A70,35440,
誇,3788,8A87,35463,
詼,3789,8A7C,35452,
詣,3790,8A63,35427,
誠,3791,8AA0,35488,
話,3792,8A71,35441,
誅,3793,8A85,35461,
詭,3794,8A6D,35437,
詢,3795,8A62,35426,
詮,3796,8A6E,35438,
詬,3797,8A6C,35436,
詹,3798,8A79,35449,
説,3799,8AAC,35500,⿰言⿱丷兄
說,3799V,8AAA,35498,⿰言⿱八兄
誦,3800,8AA6,35494,
誌,3801,8A8C,35468,
語,3802,8A9E,35486,
誣,3803,8AA3,35491,
認,3804,8A8D,35469,
誡,3805,8AA1,35489,
誓,3806,8A93,35475,
誤,3807,8AA4,35492,
誥,3808,8AA5,35493,
誨,3809,8AA8,35496,
誘,3810,8A98,35480,
誑,3811,8A91,35473,
誼,3812,8ABC,35516,
諒,3813,8AD2,35538,
談,3814,8AC7,35527,
諄,3815,8AC4,35524,
請,3816,8ACB,35531,
諸,3817,8AF8,35576,
課,3818,8AB2,35506,
誕,3819,8A95,35477,
諉,3820,8AC9,35529,
諂,3821,8AC2,35522,
調,3822,8ABF,35519,
誰,3823,8AB0,35504,
論,3824,8AD6,35542,
諍,3825,8ACD,35533,
諦,3826,8AE6,35558,
