han,name,hex,dec
餺,709,993A,39226
𩷚,710,29DDA,171482
髆,711,9AC6,39622
犦,712,72A6,29350
欂,713,6B02,27394
㿺,714,3FFA,16378
襮,715,896E,35182
䂍,716,408D,16525
礴,717,7934,31028
鑮,718,946E,37998
𩍿,719,2937F,168831
蚾,720,86BE,34494
跛,721,8DDB,36315
簸,722,7C38,31800
檗,723,6A97,27287
擘,724,64D8,25816
蘗,725,8617,34327
啵,726,5575,21877
抪,727,62AA,25258
逋,728,900B,36875
峬,729,5CEC,23788
庯,730,5EAF,24239
晡,731,6661,26209
餔,732,9914,39188
轐,733,8F50,36688
醭,734,91AD,37293
卜,735,535C,21340
捕,736,6355,25429
哺,737,54FA,21754
補,738,88DC,35036
鳪,739,9CEA,40170
䪁,740,4A81,19073
𪇰,741,2A1F0,172528
不,742,4E0D,19981
布,743,5E03,24067
步,744,6B65,27493
佈,745,4F48,20296
咘,746,5498,21656
怖,747,6016,24598
部,748,90E8,37096
埠,749,57E0,22496
瓿,750,74FF,29951
蔀,751,8500,34048
踄,752,8E04,36356
篰,753,7BF0,31728
餢,754,9922,39202
䒀,755,4480,17536
鞴,756,97B4,38836
䴺,757,4D3A,19770
簿,758,7C3F,31807
𨺭,759,28EAD,167597
攃,760,6503,25859
擦,761,64E6,25830
啋,762,554B,21835
偲,763,5072,20594
猜,764,731C,29468
才,765,624D,25165
材,766,6750,26448
財,767,8CA1,36001
裁,768,88C1,35009
纔,769,7E94,32404
采,770,91C7,37319
採,771,63A1,25505
彩,772,5F69,24425
寀,773,5BC0,23488
婇,774,5A47,23111
睬,775,776C,30572
跴,776,8DF4,36340
綵,777,7DB5,32181
踩,778,8E29,36393
䰂,779,4C02,19458
埰,780,57F0,22512
菜,781,83DC,33756
棌,782,68CC,26828
蔡,783,8521,34081
縩,784,7E29,32297
䌨,785,4328,17192
飡,786,98E1,39137
飱,787,98F1,39153
傪,788,50AA,20650
餐,789,9910,39184
䟃,790,47C3,18371
䱗,791,4C57,19543
驂,792,9A42,39490
戔,793,6214,25108
殘,794,6B98,27544
慚,795,615A,24922
蠶,796,8836,34870
朁,797,6701,26369
慘,798,6158,24920
噆,799,5646,22086
憯,800,61AF,25007
㿊,801,3FCA,16330
黲,802,9EF2,40690
粲,803,7CB2,31922
嘇,804,5607,22023
璨,805,74A8,29864
燦,806,71E6,29158
謲,807,8B32,35634
倉,808,5009,20489
傖,809,5096,20630
凔,810,51D4,20948
蒼,811,84BC,33980
獊,812,734A,29514
滄,813,6EC4,28356
艙,814,8259,33369
