han,hex,dec
勘,52D8,21208
務,52D9,21209
勛,52DB,21211
勝,52DD,21213
勞,52DE,21214
募,52DF,21215
勢,52E2,21218
勤,52E4,21220
勰,52F0,21232
勱,52F1,21233
勵,52F5,21237
勸,52F8,21240
勹,52F9,21241
勺,52FA,21242
勾,52FE,21246
勿,52FF,21247
匀,5300,21248
包,5305,21253
匆,5306,21254
匈,5308,21256
匍,530D,21261
匏,530F,21263
匐,5310,21264
匕,5315,21269
化,5316,21270
北,5317,21271
匙,5319,21273
匚,531A,21274
匝,531D,21277
匠,5320,21280
匡,5321,21281
匣,5323,21283
匦,5326,21286
匪,532A,21290
匭,532D,21293
匮,532E,21294
匯,532F,21295
匱,5331,21297
匹,5339,21305
区,533A,21306
医,533B,21307
匾,533E,21310
匿,533F,21311
區,5340,21312
十,5341,21313
千,5343,21315
卅,5345,21317
升,5347,21319
午,5348,21320
卉,5349,21321
半,534A,21322
卍,534D,21325
华,534E,21326
协,534F,21327
卑,5351,21329
卒,5352,21330
卓,5353,21331
協,5354,21332
单,5355,21333
卖,5356,21334
南,5357,21335
博,535A,21338
卜,535C,21340
卞,535E,21342
卟,535F,21343
占,5360,21344
卡,5361,21345
卢,5362,21346
卣,5363,21347
卤,5364,21348
卦,5366,21350
卧,5367,21351
卩,5369,21353
卫,536B,21355
卮,536E,21358
卯,536F,21359
印,5370,21360
危,5371,21361
即,5373,21363
却,5374,21364
卵,5375,21365
卷,5377,21367
卸,5378,21368
卺,537A,21370
卿,537F,21375
厂,5382,21378
厄,5384,21380
厅,5385,21381
历,5386,21382
厉,5389,21385
压,538B,21387
厌,538C,21388
厍,538D,21389
厕,5395,21397
厘,5398,21400
厙,5399,21401
厚,539A,21402
厝,539D,21405
原,539F,21407
厠,53A0,21408
厢,53A2,21410
厣,53A3,21411
厥,53A5,21413
厦,53A6,21414
厨,53A8,21416
厩,53A9,21417
厭,53AD,21421
厮,53AE,21422
厲,53B2,21426
厴,53B4,21428
厶,53B6,21430
厷,53B7,21431
去,53BB,21435
县,53BF,21439
叁,53C1,21441
参,53C2,21442
參,53C3,21443
又,53C8,21448
叉,53C9,21449
及,53CA,21450
友,53CB,21451
双,53CC,21452
反,53CD,21453
収,53CE,21454
发,53D1,21457
叔,53D4,21460
取,53D6,21462
受,53D7,21463
变,53D8,21464
叙,53D9,21465
叛,53DB,21467
叟,53DF,21471
叠,53E0,21472
叡,53E1,21473
叢,53E2,21474
口,53E3,21475
古,53E4,21476
句,53E5,21477
另,53E6,21478
叨,53E8,21480
叩,53E9,21481
只,53EA,21482
叫,53EB,21483
召,53EC,21484
叭,53ED,21485
叮,53EE,21486
可,53EF,21487
台,53F0,21488
叱,53F1,21489
史,53F2,21490
右,53F3,21491
叵,53F5,21493
叶,53F6,21494
号,53F7,21495
司,53F8,21496
叹,53F9,21497
叻,53FB,21499
叼,53FC,21500
叽,53FD,21501
吁,5401,21505
吃,5403,21507
各,5404,21508
吆,5406,21510
合,5408,21512
吉,5409,21513
吊,540A,21514
同,540C,21516
名,540D,21517
后,540E,21518
吏,540F,21519
吐,5410,21520
向,5411,21521
吒,5412,21522
吓,5413,21523
吔,5414,21524
吕,5415,21525
吖,5416,21526
吗,5417,21527
君,541B,21531
吝,541D,21533
吞,541E,21534
吟,541F,21535
吠,5420,21536
吡,5421,21537
吣,5423,21539
吥,5425,21541
否,5426,21542
吧,5427,21543
吨,5428,21544
吩,5429,21545
含,542B,21547
听,542C,21548
吭,542D,21549
吮,542E,21550
启,542F,21551
吱,5431,21553
吲,5432,21554
吴,5434,21556
吵,5435,21557
吸,5438,21560
吹,5439,21561
吻,543B,21563
吼,543C,21564
吽,543D,21565
吾,543E,21566
呀,5440,21568
呃,5443,21571
呆,5446,21574
呈,5448,21576
告,544A,21578
呋,544B,21579
呐,5450,21584
呒,5452,21586
呓,5453,21587
呔,5454,21588
呕,5455,21589
呖,5456,21590
呗,5457,21591
员,5458,21592
呙,5459,21593
呛,545B,21595
呜,545C,21596
呢,5462,21602
呤,5464,21604
呦,5466,21606
周,5468,21608
呱,5471,21617
呲,5472,21618
味,5473,21619
呵,5475,21621
呶,5476,21622
呷,5477,21623
呸,5478,21624
呻,547B,21627
呼,547C,21628
命,547D,21629
咀,5480,21632
咁,5481,21633
咂,5482,21634
咄,5484,21636
咆,5486,21638
咋,548B,21643
和,548C,21644
咎,548E,21646
咏,548F,21647
咐,5490,21648
咒,5492,21650
咔,5494,21652
咕,5495,21653
咖,5496,21654
咗,5497,21655
咙,5499,21657
咚,549A,21658
咛,549B,21659
咝,549D,21661
咣,54A3,21667
咤,54A4,21668
咦,54A6,21670
咧,54A7,21671
咨,54A8,21672
咩,54A9,21673
咪,54AA,21674
咫,54AB,21675
咬,54AC,21676
咭,54AD,21677
咯,54AF,21679
咱,54B1,21681
咲,54B2,21682
咳,54B3,21683
咴,54B4,21684
咸,54B8,21688
咻,54BB,21691
咼,54BC,21692
咽,54BD,21693
咿,54BF,21695
哀,54C0,21696
品,54C1,21697
哂,54C2,21698
哄,54C4,21700
哆,54C6,21702
哇,54C7,21703
哈,54C8,21704
哉,54C9,21705
哊,54CA,21706
哌,54CC,21708
响,54CD,21709
哎,54CE,21710
哏,54CF,21711
哐,54D0,21712
哑,54D1,21713
哒,54D2,21714
哓,54D3,21715
哔,54D4,21716
哕,54D5,21717
哖,54D6,21718
哗,54D7,21719
哙,54D9,21721
哚,54DA,21722
哜,54DC,21724
哝,54DD,21725
哞,54DE,21726
哟,54DF,21727
員,54E1,21729
哥,54E5,21733
哦,54E6,21734
哧,54E7,21735
哨,54E8,21736
哩,54E9,21737
哪,54EA,21738
哭,54ED,21741
哮,54EE,21742
哲,54F2,21746
哳,54F3,21747
哺,54FA,21754
哼,54FC,21756
哽,54FD,21757
哿,54FF,21759
唁,5501,21761
唄,5504,21764
唆,5506,21766
唇,5507,21767
唉,5509,21769
唏,550F,21775
唐,5510,21776
唑,5511,21777
唔,5514,21780
唛,551B,21787
唠,5520,21792
唢,5522,21794
唣,5523,21795
唤,5524,21796
唧,5527,21799
唪,552A,21802
唬,552C,21804
售,552E,21806
唯,552F,21807
唰,5530,21808
唱,5531,21809
唳,5533,21811
唵,5535,21813
唷,5537,21815
唼,553C,21820
唾,553E,21822
唿,553F,21823
啁,5541,21825
啃,5543,21827
啄,5544,21828
商,5546,21830
啉,5549,21833
啊,554A,21834
問,554F,21839
啐,5550,21840
啓,5553,21843
啕,5555,21845
啖,5556,21846
啛,555B,21851
啜,555C,21852
啞,555E,21854
啡,5561,21857
啤,5564,21860
啥,5565,21861
啦,5566,21862
啧,5567,21863
啪,556A,21866
啫,556B,21867
啬,556C,21868
啭,556D,21869
啮,556E,21870
啰,5570,21872
啲,5572,21874
啵,5575,21877
啶,5576,21878
啷,5577,21879
啸,5578,21880
啻,557B,21883
啼,557C,21884
啾,557E,21886
喀,5580,21888
喁,5581,21889
喂,5582,21890
喃,5583,21891
善,5584,21892
喆,5586,21894
喇,5587,21895
喈,5588,21896
喉,5589,21897
喊,558A,21898
喋,558B,21899
喏,558F,21903
喑,5591,21905
喔,5594,21908
喘,5598,21912
喙,5599,21913
喜,559C,21916
喝,559D,21917
喟,559F,21919
喧,55A7,21927
喪,55AA,21930
喬,55AC,21932
單,55AE,21934
喱,55B1,21937
喲,55B2,21938
喳,55B3,21939
喵,55B5,21941
喷,55B7,21943
喹,55B9,21945
喺,55BA,21946
喻,55BB,21947
喽,55BD,21949
喾,55BE,21950
嗄,55C4,21956
嗅,55C5,21957
嗆,55C6,21958
嗇,55C7,21959
嗉,55C9,21961
嗌,55CC,21964
嗍,55CD,21965
嗎,55CE,21966
嗐,55D0,21968
嗑,55D1,21969
嗒,55D2,21970
嗓,55D3,21971
嗔,55D4,21972
嗖,55D6,21974
嗚,55DA,21978
嗜,55DC,21980
嗝,55DD,21981
嗟,55DF,21983
嗡,55E1,21985
嗣,55E3,21987
嗤,55E4,21988
嗥,55E5,21989
嗦,55E6,21990
嗨,55E8,21992
嗩,55E9,21993
嗪,55EA,21994
嗫,55EB,21995
嗬,55EC,21996
嗮,55EE,21998
嗯,55EF,21999
嗰,55F0,22000
嗲,55F2,22002
嗳,55F3,22003
嗵,55F5,22005
嗶,55F6,22006
嗷,55F7,22007
嗽,55FD,22013
嗾,55FE,22014
嘀,5600,22016
嘁,5601,22017
嘅,5605,22021
嘆,5606,22022
嘈,5608,22024
嘉,5609,22025
嘌,560C,22028
嘍,560D,22029
嘎,560E,22030
嘏,560F,22031
嘔,5614,22036
嘖,5616,22038
嘗,5617,22039
嘘,5618,22040
嘚,561A,22042
嘛,561B,22043
嘜,561C,22044
嘞,561E,22046
嘟,561F,22047
嘢,5622,22050
嘣,5623,22051
嘤,5624,22052
嘧,5627,22055
嘩,5629,22057
嘫,562B,22059
嘬,562C,22060
嘭,562D,22061
嘮,562E,22062
嘯,562F,22063
嘰,5630,22064
嘱,5631,22065
嘲,5632,22066
嘴,5634,22068
嘵,5635,22069
嘶,5636,22070
嘸,5638,22072
嘹,5639,22073
嘻,563B,22075
嘿,563F,22079
噌,564C,22092
噍,564D,22093
噎,564E,22094
噔,5654,22100
噗,5657,22103
噘,5658,22104
噙,5659,22105
噜,565C,22108
噝,565D,22109
噠,5660,22112
噢,5662,22114
噤,5664,22116
噥,5665,22117
噦,5666,22118
器,5668,22120
噩,5669,22121
噪,566A,22122
噫,566B,22123
噬,566C,22124
噯,566F,22127
噱,5671,22129
噲,5672,22130
噴,5674,22132
噶,5676,22134
噸,5678,22136
噻,567B,22139
噼,567C,22140
嚀,5680,22144
嚅,5685,22149
嚆,5686,22150
嚇,5687,22151
嚌,568C,22156
嚎,568E,22158
嚏,568F,22159
嚐,5690,22160
嚒,5692,22162
嚓,5693,22163
嚕,5695,22165
嚙,5699,22169
嚜,569C,22172
嚟,569F,22175
嚣,56A3,22179
嚦,56A6,22182
嚨,56A8,22184
嚯,56AF,22191
嚳,56B3,22195
嚴,56B4,22196
嚶,56B6,22198
嚷,56B7,22199
嚼,56BC,22204
囀,56C0,22208
囁,56C1,22209
囂,56C2,22210
囅,56C5,22213
囈,56C8,22216
囊,56CA,22218
囑,56D1,22225
囔,56D4,22228
囖,56D6,22230
囗,56D7,22231
囘,56D8,22232
囚,56DA,22234
四,56DB,22235
囝,56DD,22237
回,56DE,22238
囟,56DF,22239
因,56E0,22240
囡,56E1,22241
团,56E2,22242
団,56E3,22243
囤,56E4,22244
囧,56E7,22247
囨,56E8,22248
囫,56EB,22251
囬,56EC,22252
园,56ED,22253
困,56F0,22256
囱,56F1,22257
围,56F4,22260
囵,56F5,22261
囹,56F9,22265
固,56FA,22266
国,56FD,22269
图,56FE,22270
囿,56FF,22271
圃,5703,22275
圄,5704,22276
圆,5706,22278
圇,5707,22279
圈,5708,22280
圉,5709,22281
圊,570A,22282
國,570B,22283
圍,570D,22285
園,5712,22290
圓,5713,22291
圖,5716,22294
團,5718,22296
圜,571C,22300
圝,571D,22301
土,571F,22303
圣,5723,22307
在,5728,22312
圩,5729,22313
圪,572A,22314
圬,572C,22316
圭,572D,22317
圮,572E,22318
圯,572F,22319
地,5730,22320
圳,5733,22323
圹,5739,22329
场,573A,22330
圻,573B,22331
圾,573E,22334
址,5740,22336
坂,5742,22338
均,5747,22343
坊,574A,22346
坌,574C,22348
坍,574D,22349
坎,574E,22350
坏,574F,22351
坐,5750,22352
坑,5751,22353
块,5757,22359
坚,575A,22362
坛,575B,22363
坜,575C,22364
坝,575D,22365
坞,575E,22366
坟,575F,22367
坠,5760,22368
坡,5761,22369
坤,5764,22372
坦,5766,22374
坨,5768,22376
坩,5769,22377
坪,576A,22378
坫,576B,22379
坭,576D,22381
坯,576F,22383
坳,5773,22387
坶,5776,22390
坷,5777,22391
坻,577B,22395
坼,577C,22396
垂,5782,22402
垃,5783,22403
垄,5784,22404
垅,5785,22405
垆,5786,22406
型,578B,22411
垌,578C,22412
垒,5792,22418
垓,5793,22419
垛,579B,22427
垠,57A0,22432
垡,57A1,22433
垢,57A2,22434
垣,57A3,22435
垤,57A4,22436
垦,57A6,22438
垧,57A7,22439
垨,57A8,22440
垩,57A9,22441
垫,57AB,22443
垭,57AD,22445
垮,57AE,22446
垲,57B2,22450
垴,57B4,22452
垵,57B5,22453
垸,57B8,22456
埂,57C2,22466
埃,57C3,22467
埋,57CB,22475
城,57CE,22478
埏,57CF,22479
埒,57D2,22482
埔,57D4,22484
埕,57D5,22485
埗,57D7,22487
埘,57D8,22488
埙,57D9,22489
埚,57DA,22490
埝,57DD,22493
域,57DF,22495
埠,57E0,22496
埡,57E1,22497
埤,57E4,22500
埭,57ED,22509
埯,57EF,22511
埴,57F4,22516
執,57F7,22519
埸,57F8,22520
培,57F9,22521
基,57FA,22522
埽,57FD,22525
堀,5800,22528
堂,5802,22530
堃,5803,22531
堅,5805,22533
堆,5806,22534
堇,5807,22535
堊,580A,22538
堋,580B,22539
堍,580D,22541
堑,5811,22545
堕,5815,22549
堖,5816,22550
堙,5819,22553
堝,581D,22557
堞,581E,22558
堠,5820,22560
堡,5821,22561
堤,5824,22564
堪,582A,22570
堯,582F,22575
堰,5830,22576
報,5831,22577
場,5834,22580
堵,5835,22581
